TransactionID,CustomerID,ProductCategory,SalesPrice,Quantity,TransactionDate,Region,DiscountCode
TE0042,C632,FOOD,14.8,6,2024-12-28,CENTRAL,DISC04
TE0043,C754,Toys,42.52,1,2024-12-27,CENTRAL,DISC04
TE0044,C1018,CLOTHING,63.55,7,2024-12-23,CENTRAL,DISC04
TE0045,C866,FOOD,17.0,10,2024-12-30,EAST,DISC02
TE0046,C305,CLOTHING,51.41,5,2024-12-31,West,DISC04
TE0047,C555,FOOD,12.79,4,2024-12-27,CENTRAL,
TE0048,C689,CLOTHING,59.38,1,2024-12-23,EAST,DISC02
TE0049,C280,Toys,26.0,6,2024-12-23,CENTRAL,DISC04
TE0050,C893,Toys,38.13,6,2024-12-30,EAST,DISC02
TE0051,C733,HOME,125.16,8,2024-12-29,EAST,DISC04
TE0052,C455,CLOTHING,64.64,8,2024-12-22,EAST,Disc01
TE0053,C524,Electronics,182.83,2,2024-12-24,EAST,DISC02
TE0054,C557,FOOD,14.97,5,2024-12-21,West,
TE0055,C537,Toys,28.48,7,2024-12-31,West,DISC04
TE0056,C261,Electronics,317.24,8,2024-12-26,EAST,DISC02
TE0057,C576,BOOKS,30.07,3,2024-12-25,CENTRAL,DISC04
TE0058,C255,FOOD,15.89,1,2024-12-27,CENTRAL,
TE0059,C437,HOME,104.11,1,2024-12-30,EAST,
TE0060,C246,HOME,99.63,1,2024-12-21,CENTRAL,Disc01
TE0061,C572,HOME,85.99,5,2024-12-29,EAST,
TE0062,C735,CLOTHING,62.01,10,2024-12-26,CENTRAL,DISC02
TE0063,C1018,FOOD,11.92,5,2024-12-30,CENTRAL,
TE0064,C680,BOOKS,10.0,5,2024-12-26,EAST,DISC04
TE0065,C714,FOOD,12.41,8,2024-12-30,West,DISC02
TE0066,C230,Toys,40.17,2,2024-12-30,West,
TE0067,C791,HOME,96.06,8,2024-12-31,West,DISC02
TE0068,C784,FOOD,12.54,8,2024-12-28,CENTRAL,DISC04
TE0069,C625,Electronics,293.57,1,2024-12-31,West,DISC02
TE0070,C946,BOOKS,10.0,8,2024-12-29,EAST,
TE0071,C951,BOOKS,13.62,4,2024-12-24,EAST,DISC04
TE0072,C242,HOME,95.35,8,2024-12-26,EAST,DISC02
TE0073,C154,HOME,82.77,3,2024-12-21,CENTRAL,DISC02
TE0074,C345,CLOTHING,40.0,3,2024-12-26,West,DISC02
TE0075,C831,BOOKS,12.49,1,2024-12-28,West,DISC04
TE0076,C832,HOME,93.66,9,2024-12-31,CENTRAL,Disc01
TE0077,C153,BOOKS,50.36,4,2024-12-25,West,DISC04
TE0078,C357,FOOD,15.93,2,2024-12-29,EAST,DISC04
TE0079,C764,Toys,37.64,5,2024-12-24,EAST,DISC02
TE0080,C868,CLOTHING,49.51,9,2024-12-25,EAST,Disc01
TE0081,C773,FOOD,13.07,2,2024-12-29,CENTRAL,
TE0082,C609,HOME,75.25,6,2024-12-25,EAST,DISC04
TE0083,C1028,HOME,87.88,8,2024-12-26,CENTRAL,DISC04
TE0084,C442,Electronics,165.53,5,2024-12-29,West,Disc01
TE0085,C965,Toys,26.54,1,2024-12-27,EAST,
TE0086,C602,Electronics,250.38,4,2024-12-24,EAST,DISC04
TE0087,C332,FOOD,14.25,1,2024-12-26,EAST,
TE0088,C499,FOOD,9.0,10,2024-12-31,West,DISC02
TE0089,C636,Electronics,162.51,1,2024-12-28,West,Disc01
TE0090,C387,BOOKS,10.0,8,2024-12-26,EAST,Disc01
TE0091,C1005,Toys,30.5,10,2024-12-29,EAST,DISC04
TE0092,C896,BOOKS,32.46,8,2024-12-31,West,DISC04
TE0093,C1040,HOME,130.0,4,2024-12-23,West,Disc01
TE0094,C551,Toys,41.64,6,2024-12-29,West,DISC02
TE0095,C294,HOME,102.37,4,2024-12-25,EAST,DISC04
TE0096,C642,FOOD,15.83,2,2024-12-22,EAST,DISC02
TE0097,C792,Toys,26.0,2,2024-12-21,CENTRAL,DISC04
TE0098,C802,HOME,101.58,2,2024-12-27,West,Disc01
TE0099,C944,Toys,36.69,8,2024-12-26,CENTRAL,DISC04
TE0100,C383,CLOTHING,75.28,9,2024-12-21,CENTRAL,
TE0101,C699,BOOKS,60.12,5,2024-12-26,West,
TE0102,C762,Electronics,189.43,3,2024-12-26,West,Disc01
TE0103,C1024,Electronics,314.1,6,2024-12-28,West,DISC04
TE0104,C494,CLOTHING,67.71,5,2024-12-29,CENTRAL,DISC02
TE0105,C191,BOOKS,19.01,4,2024-12-28,EAST,DISC02
TE0106,C264,HOME,93.27,10,2024-12-30,EAST,DISC02
TE0107,C339,Toys,36.04,10,2024-12-25,EAST,
TE0108,C896,Electronics,305.63,6,2024-12-21,EAST,DISC02
TE0109,C129,Toys,31.09,3,2024-12-21,West,
TE0110,C523,HOME,109.94,5,2024-12-22,EAST,
TE0111,C767,CLOTHING,49.93,4,2024-12-21,CENTRAL,DISC04
TE0112,C1078,CLOTHING,58.86,9,2024-12-28,EAST,Disc01
TE0113,C197,HOME,122.37,5,2024-12-24,EAST,Disc01
TE0114,C221,Toys,29.87,8,2024-12-24,CENTRAL,DISC04
TE0115,C247,Electronics,138.4,4,2024-12-26,CENTRAL,Disc01
TE0116,C478,BOOKS,25.24,2,2024-12-29,CENTRAL,Disc01
TE0117,C325,Electronics,134.11,9,2024-12-28,EAST,DISC04
TE0118,C998,CLOTHING,80.47,7,2024-12-31,CENTRAL,DISC04
TE0119,C336,CLOTHING,50.12,5,2024-12-24,CENTRAL,DISC04
TE0120,C1018,Toys,50.12,6,2024-12-29,West,DISC04
TE0121,C485,BOOKS,23.46,9,2024-12-29,West,
TE0122,C797,BOOKS,15.42,4,2024-12-21,West,
TE0123,C227,HOME,107.38,5,2024-12-24,West,DISC04
TE0124,C385,CLOTHING,63.51,4,2024-12-25,West,Disc01
TE0125,C964,FOOD,12.1,10,2024-12-23,EAST,Disc01
TE0126,C248,Electronics,291.27,2,2024-12-29,EAST,
TE0127,C153,CLOTHING,53.25,8,2024-12-27,CENTRAL,DISC02
TE0128,C318,Toys,47.69,4,2024-12-23,West,DISC02
TE0129,C1012,FOOD,13.92,6,2024-12-24,CENTRAL,
TE0130,C657,FOOD,15.61,5,2024-12-27,EAST,DISC04
TE0131,C314,Electronics,230.5,10,2024-12-31,West,DISC02
TE0132,C898,BOOKS,20.81,6,2024-12-22,EAST,
TE0133,C149,BOOKS,15.54,2,2024-12-31,West,DISC04
TE0134,C120,Electronics,221.46,10,2024-12-23,EAST,
TE0135,C844,BOOKS,32.77,8,2024-12-21,West,DISC02
TE0136,C610,HOME,90.05,9,2024-12-28,West,DISC04
TE0137,C566,FOOD,13.13,7,2024-12-25,EAST,Disc01
TE0138,C189,HOME,87.8,9,2024-12-31,EAST,DISC02
TE0139,C955,BOOKS,10.0,7,2024-12-21,EAST,DISC02
TE0140,C331,HOME,84.37,5,2024-12-22,CENTRAL,DISC02
TE0141,C699,Toys,26.0,1,2024-12-28,EAST,DISC02
TE0142,C174,Toys,33.67,2,2024-12-25,West,
TE0143,C681,Electronics,233.63,3,2024-12-31,EAST,DISC04
TE0144,C1031,CLOTHING,79.82,10,2024-12-30,EAST,
TE0145,C570,HOME,119.48,1,2024-12-29,West,
TE0146,C513,FOOD,11.93,1,2024-12-31,EAST,
TE0147,C372,HOME,107.41,8,2024-12-22,CENTRAL,
TE0148,C404,HOME,118.87,6,2024-12-25,EAST,
TE0149,C718,CLOTHING,75.94,6,2024-12-31,CENTRAL,DISC04
TE0150,C744,BOOKS,10.0,1,2024-12-27,CENTRAL,DISC02
TE0151,C601,BOOKS,10.0,10,2024-12-25,CENTRAL,
TE0152,C850,BOOKS,19.34,3,2024-12-22,CENTRAL,DISC02
TE0153,C1059,CLOTHING,63.66,7,2024-12-24,EAST,DISC04
TE0154,C408,HOME,121.0,3,2024-12-22,West,DISC02
TE0155,C661,Toys,38.89,10,2024-12-30,CENTRAL,
TE0156,C708,CLOTHING,62.44,7,2024-12-25,EAST,
TE0157,C270,HOME,89.13,4,2024-12-21,EAST,DISC02
TE0158,C629,Toys,26.0,9,2024-12-22,CENTRAL,DISC04
TE0159,C787,FOOD,9.55,5,2024-12-21,CENTRAL,Disc01
TE0160,C290,Toys,27.2,3,2024-12-30,CENTRAL,DISC04
TE0161,C511,FOOD,16.1,6,2024-12-24,EAST,Disc01
TE0162,C970,BOOKS,50.43,5,2024-12-27,CENTRAL,DISC04
TE0163,C959,BOOKS,10.0,5,2024-12-25,CENTRAL,DISC04
TE0164,C1042,Toys,29.65,5,2024-12-31,West,Disc01
TE0165,C337,Toys,26.0,10,2024-12-23,West,DISC04
TE0166,C1023,Toys,31.61,7,2024-12-26,CENTRAL,
TE0167,C275,CLOTHING,66.08,4,2024-12-25,EAST,DISC04
TE0168,C817,Toys,39.39,6,2024-12-22,EAST,DISC04
TE0169,C693,Electronics,217.52,7,2024-12-22,CENTRAL,Disc01
TE0170,C756,CLOTHING,59.78,8,2024-12-23,West,Disc01
TE0171,C694,Electronics,257.8,1,2024-12-24,EAST,
TE0172,C1045,HOME,79.89,2,2024-12-30,CENTRAL,
TE0173,C820,BOOKS,47.88,2,2024-12-26,EAST,
TE0174,C494,FOOD,14.56,3,2024-12-28,CENTRAL,Disc01
TE0175,C662,FOOD,9.0,4,2024-12-23,CENTRAL,
TE0176,C1019,HOME,77.3,3,2024-12-24,EAST,DISC02
TE0177,C797,Toys,33.36,1,2024-12-21,EAST,Disc01
TE0178,C191,Electronics,87.37,5,2024-12-24,CENTRAL,DISC02
TE0179,C399,HOME,90.16,6,2024-12-21,West,Disc01
TE0180,C1013,Toys,36.87,1,2024-12-22,CENTRAL,DISC04
TE0181,C132,FOOD,13.3,6,2024-12-28,West,DISC02
TE0182,C1011,CLOTHING,50.49,4,2024-12-28,West,DISC04
TE0183,C507,Toys,45.78,2,2024-12-30,EAST,DISC04
TE0184,C262,HOME,121.83,7,2024-12-31,CENTRAL,Disc01
TE0185,C449,FOOD,14.28,6,2024-12-25,EAST,DISC02
TE0186,C409,BOOKS,20.52,5,2024-12-28,CENTRAL,
TE0187,C590,BOOKS,10.43,4,2024-12-24,EAST,
TE0188,C468,BOOKS,34.08,7,2024-12-30,CENTRAL,DISC04
TE0189,C260,HOME,97.62,1,2024-12-23,EAST,DISC02
TE0190,C319,BOOKS,49.53,6,2024-12-25,EAST,
TE0191,C960,BOOKS,10.0,10,2024-12-22,EAST,DISC02
TE0192,C838,Electronics,266.9,1,2024-12-29,West,
TE0193,C698,BOOKS,53.4,6,2024-12-26,West,
TE0194,C223,Electronics,228.0,2,2024-12-25,CENTRAL,Disc01
TE0195,C666,Toys,37.06,5,2024-12-31,EAST,
TE0196,C982,Toys,26.0,7,2024-12-30,West,
TE0197,C588,BOOKS,32.52,8,2024-12-27,West,DISC04
TE0198,C260,Electronics,284.39,5,2024-12-25,CENTRAL,DISC04
TE0199,C108,CLOTHING,78.06,2,2024-12-29,West,DISC04
TE0200,C412,Electronics,237.13,9,2024-12-22,West,DISC02
TE0201,C443,Toys,40.83,9,2024-12-27,CENTRAL,DISC04
TE0202,C505,CLOTHING,42.32,10,2024-12-21,EAST,DISC02
TE0203,C274,Toys,34.45,5,2024-12-30,EAST,DISC02
TE0204,C1086,FOOD,10.87,10,2024-12-27,EAST,DISC04
TE0205,C754,Electronics,164.14,7,2024-12-24,CENTRAL,DISC04
TE0206,C1067,BOOKS,33.76,4,2024-12-27,CENTRAL,
TE0207,C447,Toys,33.35,4,2024-12-26,CENTRAL,
TE0208,C489,HOME,87.27,2,2024-12-27,EAST,DISC04
TE0209,C205,FOOD,10.25,6,2024-12-23,West,Disc01
TE0210,C191,Electronics,200.77,8,2024-12-25,CENTRAL,DISC04
TE0211,C779,BOOKS,51.51,6,2024-12-27,EAST,DISC02
TE0212,C1010,FOOD,10.57,7,2024-12-21,West,DISC04
TE0213,C544,BOOKS,13.14,9,2024-12-26,West,Disc01
TE0214,C210,HOME,88.75,10,2024-12-30,West,DISC02
TE0215,C543,Toys,27.34,8,2024-12-30,West,Disc01
TE0216,C368,CLOTHING,54.31,1,2024-12-22,EAST,DISC02
TE0217,C456,FOOD,13.85,6,2024-12-29,EAST,DISC04
TE0218,C123,Toys,40.52,4,2024-12-27,West,Disc01
TE0219,C608,Electronics,275.44,5,2024-12-22,West,DISC02
TE0220,C832,FOOD,12.79,6,2024-12-29,CENTRAL,Disc01
TE0221,C266,Toys,28.33,5,2024-12-23,West,DISC02
TE0222,C544,Toys,31.72,8,2024-12-22,EAST,DISC02
TE0223,C373,HOME,111.48,10,2024-12-22,West,DISC02
TE0224,C220,Electronics,147.88,5,2024-12-31,EAST,Disc01
TE0225,C779,CLOTHING,53.71,2,2024-12-24,West,DISC04
TE0226,C871,Electronics,270.85,3,2024-12-30,West,DISC02
TE0227,C387,Electronics,220.55,5,2024-12-28,West,
TE0228,C893,Toys,26.0,8,2024-12-25,West,DISC04
TE0229,C792,BOOKS,26.4,9,2024-12-26,EAST,DISC04
TE0230,C550,Electronics,142.59,8,2024-12-31,EAST,Disc01
TE0231,C674,Electronics,204.47,2,2024-12-28,CENTRAL,DISC02
TE0232,C434,Toys,33.65,6,2024-12-26,CENTRAL,
TE0233,C156,CLOTHING,58.28,1,2024-12-27,CENTRAL,Disc01
TE0234,C983,HOME,96.66,3,2024-12-28,EAST,DISC04
TE0235,C204,HOME,91.53,4,2024-12-29,EAST,Disc01
TE0236,C217,Toys,43.86,7,2024-12-29,EAST,Disc01
TE0237,C867,BOOKS,35.91,3,2024-12-25,CENTRAL,DISC02
TE0238,C205,FOOD,17.0,9,2024-12-24,EAST,
TE0239,C220,BOOKS,18.06,3,2024-12-28,EAST,DISC04
TE0240,C508,HOME,101.51,7,2024-12-29,EAST,
TE0241,C505,Electronics,305.09,8,2024-12-26,EAST,Disc01
TE0242,C922,CLOTHING,75.85,4,2024-12-28,EAST,Disc01
TE0243,C368,Toys,38.85,9,2024-12-25,EAST,
TE0244,C327,BOOKS,37.84,9,2024-12-28,CENTRAL,DISC04
TE0245,C778,HOME,105.19,10,2024-12-27,CENTRAL,DISC04
TE0246,C231,HOME,97.04,4,2024-12-25,West,DISC04
TE0247,C729,Electronics,254.13,4,2024-12-24,EAST,
TE0248,C950,BOOKS,10.0,9,2024-12-23,EAST,
TE0249,C379,CLOTHING,76.85,1,2024-12-22,EAST,Disc01
TE0250,C982,Toys,39.51,2,2024-12-25,EAST,DISC04
TE0251,C738,Toys,39.84,5,2024-12-30,CENTRAL,
TE0252,C290,BOOKS,28.98,5,2024-12-21,CENTRAL,
TE0253,C232,Toys,42.42,6,2024-12-27,CENTRAL,DISC02
TE0254,C1041,Toys,31.37,6,2024-12-29,West,
TE0255,C526,FOOD,9.03,1,2024-12-25,West,
TE0256,C264,FOOD,13.27,8,2024-12-30,CENTRAL,
TE0257,C462,FOOD,11.37,10,2024-12-31,EAST,DISC04
TE0258,C627,FOOD,17.0,4,2024-12-23,EAST,DISC02
TE0259,C907,CLOTHING,52.62,5,2024-12-23,CENTRAL,DISC02
TE0260,C1010,Electronics,238.8,7,2024-12-31,CENTRAL,DISC04
TE0261,C364,BOOKS,56.03,4,2024-12-24,EAST,Disc01
TE0262,C568,HOME,117.68,5,2024-12-29,EAST,DISC02
TE0263,C582,HOME,98.86,4,2024-12-29,West,DISC02
TE0264,C775,HOME,84.97,7,2024-12-22,CENTRAL,Disc01
TE0265,C688,CLOTHING,70.25,4,2024-12-29,West,Disc01
TE0266,C261,Electronics,235.94,2,2024-12-31,West,DISC04
TE0267,C710,Electronics,179.13,5,2024-12-30,West,DISC04
TE0268,C934,HOME,96.97,8,2024-12-27,CENTRAL,DISC02
TE0269,C256,BOOKS,16.65,6,2024-12-24,EAST,DISC04
TE0270,C238,BOOKS,40.59,8,2024-12-27,CENTRAL,DISC04
TE0271,C807,HOME,130.0,10,2024-12-22,CENTRAL,Disc01
TE0272,C1020,BOOKS,22.99,8,2024-12-30,CENTRAL,Disc01
TE0273,C123,FOOD,13.54,3,2024-12-29,CENTRAL,Disc01
TE0274,C955,HOME,98.02,6,2024-12-28,West,DISC02
TE0275,C219,Electronics,284.32,6,2024-12-22,EAST,DISC04
TE0276,C977,Toys,35.79,5,2024-12-26,West,
TE0277,C300,CLOTHING,40.0,6,2024-12-24,West,Disc01
TE0278,C224,Electronics,307.71,4,2024-12-22,West,Disc01
TE0279,C1072,BOOKS,30.35,2,2024-12-28,West,DISC04
TE0280,C124,Electronics,166.36,7,2024-12-25,West,DISC02
TE0281,C645,BOOKS,31.27,2,2024-12-25,EAST,Disc01
TE0282,C226,CLOTHING,62.52,4,2024-12-27,CENTRAL,Disc01
TE0283,C670,HOME,104.07,9,2024-12-21,EAST,
TE0284,C376,CLOTHING,40.0,8,2024-12-22,CENTRAL,Disc01
TE0285,C955,BOOKS,60.75,7,2024-12-25,EAST,
TE0286,C1051,HOME,122.07,8,2024-12-22,CENTRAL,
TE0287,C204,FOOD,11.52,8,2024-12-26,EAST,DISC04
TE0288,C156,BOOKS,13.02,8,2024-12-29,West,Disc01
TE0289,C1035,CLOTHING,79.15,8,2024-12-28,CENTRAL,
TE0290,C610,FOOD,14.09,2,2024-12-25,EAST,
TE0291,C575,CLOTHING,52.09,4,2024-12-30,CENTRAL,DISC04
TE0292,C417,HOME,98.29,9,2024-12-25,CENTRAL,Disc01
TE0293,C330,BOOKS,27.6,1,2024-12-21,EAST,Disc01
TE0294,C168,BOOKS,24.24,8,2024-12-29,West,Disc01
TE0295,C977,CLOTHING,57.29,7,2024-12-24,EAST,Disc01
TE0296,C1034,Toys,52.23,3,2024-12-30,West,
TE0297,C477,Toys,37.63,4,2024-12-24,CENTRAL,DISC02
TE0298,C1040,HOME,115.43,2,2024-12-27,CENTRAL,DISC02
TE0299,C262,FOOD,13.09,8,2024-12-31,CENTRAL,DISC04
TE0300,C1061,Electronics,276.47,1,2024-12-23,EAST,DISC04
TE0301,C191,HOME,120.42,10,2024-12-29,CENTRAL,
TE0302,C631,Toys,44.36,9,2024-12-31,CENTRAL,
TE0303,C1003,BOOKS,10.0,4,2024-12-29,EAST,DISC04
TE0304,C315,Toys,26.0,5,2024-12-24,West,Disc01
TE0305,C1049,Toys,49.3,7,2024-12-30,CENTRAL,DISC02
TE0306,C948,HOME,104.09,1,2024-12-31,CENTRAL,
TE0307,C406,FOOD,10.84,1,2024-12-23,West,DISC04
TE0308,C859,FOOD,15.33,6,2024-12-27,West,DISC04
TE0309,C734,HOME,123.76,8,2024-12-30,West,Disc01
TE0310,C424,Electronics,304.36,1,2024-12-21,West,DISC04
TE0311,C984,BOOKS,43.91,6,2024-12-24,EAST,
TE0312,C463,HOME,99.72,3,2024-12-25,EAST,Disc01
TE0313,C697,BOOKS,13.99,5,2024-12-26,West,DISC02
TE0314,C961,CLOTHING,40.29,5,2024-12-31,West,
TE0315,C1041,Toys,34.05,2,2024-12-26,EAST,Disc01
TE0316,C830,BOOKS,11.89,10,2024-12-28,EAST,DISC02
TE0317,C762,Electronics,141.96,10,2024-12-23,EAST,
TE0318,C959,CLOTHING,57.14,8,2024-12-25,EAST,DISC04
TE0319,C332,HOME,124.76,8,2024-12-22,CENTRAL,Disc01
TE0320,C420,BOOKS,23.62,9,2024-12-21,EAST,Disc01
TE0321,C938,Electronics,217.51,8,2024-12-22,EAST,DISC02
TE0322,C646,BOOKS,13.69,8,2024-12-30,CENTRAL,DISC02
TE0323,C409,HOME,110.07,8,2024-12-22,EAST,
TE0324,C865,CLOTHING,62.35,3,2024-12-31,CENTRAL,DISC02
TE0325,C932,Toys,40.73,8,2024-12-24,West,Disc01
TE0326,C1026,HOME,75.25,10,2024-12-31,West,DISC02
TE0327,C702,HOME,93.44,9,2024-12-28,EAST,
TE0328,C436,Electronics,162.18,2,2024-12-30,EAST,Disc01
TE0329,C807,HOME,121.52,6,2024-12-29,West,
TE0330,C370,HOME,103.1,3,2024-12-23,CENTRAL,Disc01
TE0331,C407,Toys,32.84,5,2024-12-28,West,Disc01
TE0332,C243,HOME,108.45,6,2024-12-29,West,Disc01
TE0333,C655,BOOKS,21.71,3,2024-12-30,EAST,DISC04
TE0334,C485,Toys,38.54,8,2024-12-30,CENTRAL,DISC02
TE0335,C998,Toys,36.41,2,2024-12-26,West,DISC02
TE0336,C738,HOME,110.75,5,2024-12-23,EAST,
TE0337,C781,FOOD,11.98,1,2024-12-22,CENTRAL,DISC02
TE0338,C113,FOOD,13.69,3,2024-12-26,EAST,DISC04
TE0339,C965,BOOKS,10.0,3,2024-12-27,EAST,DISC04
TE0340,C737,Electronics,174.36,5,2024-12-26,EAST,DISC02
TE0341,C938,BOOKS,12.66,9,2024-12-30,EAST,
TE0342,C1017,CLOTHING,54.15,7,2024-12-26,EAST,DISC02
TE0343,C311,FOOD,13.24,6,2024-12-31,EAST,DISC04
TE0344,C506,Electronics,254.51,9,2024-12-30,West,
TE0345,C767,CLOTHING,45.89,9,2024-12-27,CENTRAL,Disc01
TE0346,C536,HOME,96.62,7,2024-12-31,West,
TE0347,C302,HOME,110.02,7,2024-12-30,CENTRAL,DISC02
TE0348,C300,CLOTHING,40.0,4,2024-12-26,CENTRAL,Disc01
TE0349,C1053,FOOD,11.9,8,2024-12-25,EAST,DISC02
TE0350,C288,Electronics,159.78,6,2024-12-22,EAST,DISC02
TE0351,C754,Electronics,189.58,7,2024-12-24,West,DISC02
TE0352,C111,CLOTHING,58.13,7,2024-12-27,EAST,DISC02
TE0353,C334,CLOTHING,45.58,5,2024-12-29,CENTRAL,
TE0354,C622,HOME,115.13,1,2024-12-25,EAST,
TE0355,C209,BOOKS,10.0,1,2024-12-27,West,
TE0356,C907,Toys,34.36,4,2024-12-27,EAST,DISC04
TE0357,C223,Toys,28.19,10,2024-12-22,CENTRAL,Disc01
TE0358,C226,FOOD,12.59,1,2024-12-31,EAST,
TE0359,C472,Toys,36.82,7,2024-12-28,EAST,DISC04
TE0360,C937,Toys,30.46,10,2024-12-28,EAST,
TE0361,C123,CLOTHING,66.66,3,2024-12-26,West,Disc01
TE0362,C1024,Electronics,233.24,7,2024-12-23,West,
TE0363,C973,BOOKS,26.43,2,2024-12-23,West,DISC02
TE0364,C938,Toys,37.9,4,2024-12-27,CENTRAL,Disc01
TE0365,C243,FOOD,14.8,1,2024-12-26,EAST,DISC02
TE0366,C931,CLOTHING,58.54,10,2024-12-27,West,
TE0367,C735,CLOTHING,59.98,2,2024-12-26,CENTRAL,Disc01
TE0368,C946,Electronics,86.0,1,2024-12-30,West,DISC04
TE0369,C747,HOME,103.41,4,2024-12-29,CENTRAL,Disc01
TE0370,C565,FOOD,12.39,5,2024-12-27,EAST,DISC04
TE0371,C732,Toys,65.37,4,2024-12-27,West,DISC02
TE0372,C464,FOOD,13.39,3,2024-12-29,CENTRAL,
TE0373,C236,Electronics,255.66,8,2024-12-22,CENTRAL,Disc01
TE0374,C635,FOOD,13.26,10,2024-12-21,West,
TE0375,C969,HOME,75.25,10,2024-12-26,CENTRAL,DISC04
TE0376,C627,Toys,31.07,8,2024-12-29,West,
TE0377,C660,CLOTHING,72.25,5,2024-12-24,CENTRAL,Disc01
TE0378,C1008,HOME,102.0,2,2024-12-22,West,
TE0379,C395,Toys,39.83,7,2024-12-27,EAST,DISC02
TE0380,C1075,Toys,33.68,7,2024-12-22,CENTRAL,
TE0381,C573,Electronics,231.85,7,2024-12-31,CENTRAL,DISC04
TE0382,C146,Electronics,92.53,9,2024-12-27,West,
TE0383,C977,CLOTHING,66.82,10,2024-12-31,CENTRAL,
TE0384,C260,Toys,26.0,4,2024-12-26,EAST,
TE0385,C887,CLOTHING,46.47,8,2024-12-22,West,DISC02
TE0386,C731,CLOTHING,60.86,10,2024-12-21,EAST,
TE0387,C436,Toys,35.03,10,2024-12-21,CENTRAL,DISC02
TE0388,C372,BOOKS,39.38,1,2024-12-31,West,
TE0389,C1091,Toys,43.24,10,2024-12-29,EAST,
TE0390,C1004,FOOD,14.77,8,2024-12-30,West,DISC02
TE0391,C760,BOOKS,24.29,4,2024-12-30,West,DISC04
TE0392,C698,Electronics,220.4,2,2024-12-22,CENTRAL,Disc01
TE0393,C118,HOME,75.25,3,2024-12-27,CENTRAL,DISC02
TE0394,C432,BOOKS,14.1,6,2024-12-26,West,Disc01
TE0395,C684,HOME,119.0,4,2024-12-27,CENTRAL,
TE0396,C1008,CLOTHING,77.37,6,2024-12-28,West,
TE0397,C557,Electronics,253.23,8,2024-12-23,CENTRAL,Disc01
TE0398,C775,Toys,39.22,5,2024-12-21,CENTRAL,
TE0399,C585,HOME,111.64,9,2024-12-31,EAST,Disc01
TE0400,C738,Electronics,262.64,8,2024-12-29,CENTRAL,DISC02
TE0401,C530,BOOKS,12.02,1,2024-12-21,EAST,DISC04
TE0402,C168,FOOD,13.67,6,2024-12-25,EAST,DISC02
